"Pogłębiałem/am swoją wiedzę na temat środowiska (np. korzystając z mediów, oglądając telewizję, przeglądając internet, czytając blogi)."	"I educated myself about environmental issues (e.g., through media, television, internet, blogs, etc.)."
"Uczestniczyłem/am w szkoleniu (np. warsztacie) o tematyce ekologicznej."	"I participated in an educational event (e.g., workshop) related to the environment."
"Zorganizowałem/am szkolenie (np. warsztat) o tematyce ekologicznej."	"I organized an educational event (e.g., workshop) related to environmental issues."
"Rozmawiałem/am z innymi na tematy związane z ekologią (np. ze współmałżonkiem, partnerem, rodzicami, dziećmi, znajomymi)."	"I talked with others about environmental issues (e.g., spouse, partner, parent(s), children, or friends)."
"Korzystałem/am z usług internetowych (np. YouTube, Facebook, Wikipedia) w celu propagowania wiedzy o tematyce ekologicznej."	"I used online tools (e.g., YouTube, Facebook, Wikipedia, MySpace Blogs) to raise awareness about environmental issues."
"Korzystałem/am z tradycyjnych narzędzi komunikacji (np. list do redakcji, artykuł) w celu propagowania wiedzy o tematyce ekologicznej."	"I used traditional methods (e.g., letters to the editor, articles) to raise awareness about environmental issues."
"Napisałem/am list lub zadzwoniłem/am do polityka / urzędnika państwowego w sprawie ochrony środowiska."	"I personally wrote to or called a politician/government official about an environmental issue."
"Angażowałem/am się w działania organizacji ekologicznej lub partii politycznej (np. działalność społeczna, praca sezonowa)."	"I became involved with an environmental group or political party (e.g., volunteer, summer job, etc.)."
"Wsparłem/am finansowo działania na rzecz ochrony środowiska."	"I financially supported an environmental cause."
"Wziąłem/wzięłam udział w proteście/wiecu o tematyce ekologicznej."	"I took part in a protest/rally about an environmental issue."
"Zorganizowałem/am wiec/protest o tematyce ekologicznej."	"I organized an environmental protest/rally."
"Zorganizowałem/am bojkot firmy, której działalność jest szkodliwa dla środowiska."	"I organized a boycott against a company engaging in environmentally harmful practices."
"Złożyłem/am petycję (np. petycję online) w sprawie ochrony środowiska."	"I organized a petition (including online petitions) for an environmental cause."
"Starałem/am się wygospodarować czas na zajęcia związane z ekologią (np. podejmując pracę zarobkową w niepełnym wymiarze godzin, aby móc uczestniczyć w inicjatywach na rzecz ochrony środowiska, znajdując pracę związaną z ochroną środowiska, lub rezygnując z wypoczynku na rzecz działalności ekologicznej)."	"I consciously made time to be able to work on environmental issues (e.g., working part time to allow time for environmental pursuits, working in an environmental job, or choosing environmental activities over other leisure activities)."
"Uczestniczyłem/am w wydarzeniu, którego celem było propagowanie wiedzy ekologicznej."	"I participated in a community event which focused on environmental awareness."
"Zorganizowałem/am wydarzenie, którego celem było propagowanie wiedzy ekologicznej."	"I organized a community event which focused on environmental awareness."
"Uczestniczyłem/am w akcji na rzecz ochrony przyrody (np. sadzenie drzew, rekultywacja rzeki)."	"I participated in nature conservation efforts (e.g., planting trees, restoration of waterways)."
"Współpracowałem/am z organizacją, prowadzącą działalność na pograniczu ekologii i problemów społecznych (np. nierówności społeczne i ubóstwo)."	"I spent time working with a group/organization that deals with the connection of the environment to other societal issues such as justice or poverty."
